Title,Category,Bid Count,Highest Bid Amount(€),Description,URL
Lichtgewicht dweilmachine met dubbele roterende kop van Hyundai,Huishouden,25,63,"Geen zin om vermoeid op de bank te ploffen na het schoonmaken van je huis? Met deze elektrische dweil van Hyundai is dat verleden tijd. Het handige apparaat is geschikt voor alle ondergronden, lichtgewicht én multifunctioneel. Wat wil je nog meer? Bied nu snel mee en win met korting.",https://www.vakantieveilingen.be/veilingen/producten/huishouden/lichtgewicht-dweilmachine-met-dubbele-roterende-kop-hyundai/62819
8 dagen Kreta of Chalkidiki incl. ontbijt (2 p.),Zonvakanties,25,37,"Lekker eten, strand en ontspanning: het zijn dé ingrediënten voor een heerlijke vakantie in Griekenland. Jullie verblijven in een 3- *** hotel, dat door gasten als uitstekend wordt beoordeeld. Het ontbijt is inbegrepen, dus dat wordt enkele dagen lang op-en-top genieten. Bied nu en boek met korting.",https://www.vakantieveilingen.be/veilingen/vakanties/zonvakanties/vakantie-griekenland-8-dagen-kreta-of-chalkidiki/57280?l=78696591&p=166193
4 dagen Kreta of Chalkidiki incl. ontbijt (2 p.),Zonvakanties,25,81,"Lekker eten, strand en ontspanning: het zijn dé ingrediënten voor een heerlijke vakantie in Griekenland. Jullie verblijven in een 3- *** hotel, dat door gasten als uitstekend wordt beoordeeld. Het ontbijt is inbegrepen, dus dat wordt enkele dagen lang op-en-top genieten. Bied nu en boek met korting.",https://www.vakantieveilingen.be/veilingen/vakanties/zonvakanties/vakantie-griekenland-4-dagen-kreta-of-chalkidiki/57337
Luxe loungeset met bijzettafel van Feel Home,Tuin en buiten,21,429,Deze loungeset Sicilia brengt het trendy zomergevoel naar je tuin of terras. Door de stijl en het design waan je je in het zonnige en feestelijke Ibiza. Dat wil je toch? De set komt in een hoekbank met bijzettafel. De kussens zijn water en vuil afstotend en kunnen dus zomers mee. Bied mee en win!,https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/loungeset-sicilia-feel-home/62382
Mobiele airconditioner met afstandsbediening (9.000 BTU),Elektronica,18,162,Op warme dagen is de mobiele airco van MOA precies wat je nodig hebt. Met een gewicht van 23 kilo en een stevige kunststof behuizing is deze airco makkelijk te verplaatsen en past ie in elke ruimte. Dankzij het strakke ontwerp is het een uitstekende koeloplossing voor elk interieur. Bied mee en win.,https://www.vakantieveilingen.be/veilingen/producten/elektronica/moa-mobiele-airco-a010w/62853
Ô Secret in Luik: overnachting met privéwellness (2 p.),Hotels Belgie,20,103,Zin om jouw partner te verrassen met een romantisch nachtje weg? Ontdek de bruisende stad Luik in België en blijf slapen in Hotel Ô Secret. Kies 1 van de originele themakamers en geniet samen van jullie eigen privéwellness. Heerlijk! Win met korting en maak écht even tijd voor elkaar.,https://www.vakantieveilingen.be/veilingen/hotels/hotels-belgie/hotel-o-secret-luik-prive-wellness-upgrade/42965
Tweedekans veiling: BIGASUO B-102K digitale fotolijst,Elektronica,12,13,Tweedekans veilingen zijn goed werkende producten met een schoonheidsfoutje. Toon je mooiste herinneringen met de BIGASUO B-102K digitale fotolijst. Geniet van eenvoudige draadloze fotoweergave in haarscherpe kwaliteit. Bied vandaag nog mee en win de lijst met een mooie korting.,https://www.vakantieveilingen.be/veilingen/producten/elektronica/tweedekans-veiling-b-102k-digitale-fotolijst-bigasuo/62858
Heen-en terug rit Luxe busreis België - Costa Brava voor 2 personen,Onderweg,9,51,"De Spaanse Costa Brava staat bekend om z'n prachtige kusten. Deze busreis brengt je naar een bestemming naar keuze. Wordt het zonnen en op avontuur in Lloret de Mar, Malgrat de Mar, Pineda de Mar of toch Santa Susanna? Bied mee en win een busreis naar je favoriete bestemming aan de Spaanse kust!",https://www.vakantieveilingen.be/veilingen/vakanties/onderweg/busreis-costa-brava-8-dagen-in-spanje/61957
Samen 2 dagen Veluwe óf Utrechtse Heuvelrug (2p. - NL),Hotels Nederland,5,5,Er samen even lekker tussenuit? Ga 2 dagen de natuur in om op te laden of maak er juist een actief uitstapje van door een fiets te huren en de hele omgeving te verkennen. Je hebt keuze uit 3 hotels waar je je auto gratis kunt parkeren. Plaats het beste bod en bezoek de Veluwe of Utrechtse Heuvelrug.,https://www.vakantieveilingen.be/veilingen/hotels/hotels-nederland/2-dagen-de-natuur-in-veluwe-of-utrechtse-heuvelrug/62475
8 dagen Malta incl. dagcruise Comino/Blue Lagoon (2 p.),Zonvakanties,19,135,"Boek nu jouw vakantie met korting en geniet 8 dagen onder de Maltese zon. Je verblijft in een kamer met zeezicht in het 4-sterrenresort Paradise Bay, gelegen op 15 minuten loopafstand van een mooi zandstrand. Bonus: een dagcruise naar het eiland Comino én de magische Blue Lagoon is inbegrepen.",https://www.vakantieveilingen.be/veilingen/vakanties/zonvakanties/malta-paradise-bay-resort-8-dagen/62417
